Title,Videourl,Category,Description
Congress & BJP Spar Over Credit For Ak-203 Factory In Amethi | CNN-News18,/watch?v=IgbV2x2F9uU,manufacturing,"The AK-203/103 rifle, which will soon be manufactured in Korwa area of Amethi after Prime Minister Narendra Modi laid the foundation stone of its manufacturing unit, is the latest derivative of the legendary AK-47 rifle.
The project, in collaboration with Russia, will be undertaken at the Korwa ordnance factory, which was established in 2010. Around 7.5 lakh units of the latest version of AK-47 will be manufactured in the new unit.

CNN-News18 is India’s most awarded English News Channel, and is one of the most respected and dynamic media brands in the country today. CNN-News18 has in a short time, redefined the limits and has set new standards for journalism in Indian news television through its differentiated programming and philosophy of inclusive journalism the spirit of ‘Whatever It Takes'. CNN-News18 continues to be India’s window to the world and world’s window into India. CNN-News18 has been awarded all the prestigious awards in the General News category in the country.

Subscribe our channel for latest news updates: https://www.youtube.com/ibnlive

Follow Us On:
Facebook: https://www.facebook.com/cnnnews18/
Twitter: https://twitter.com/cnnnews18
Website: http://www.news18.com"
Delicious CHEAP EATS in Singapore | Maxwell Hawker,/watch?v=Ty7lFNvdl4U,travel blog,"We had a much better day of eating HAHA

New merch here: https://teespring.com/stores/chonnyday

Accommodation: The Quincy Hotel
http://www.quincy.com.sg
Restaurants:
Toast Box
https://www.toastbox.com.sg/locations.html
Irvins Salted Egg
https://irvinsaltedegg.com/find-us?utm_source=nav
Maxwell Food Centre
https://www.tripadvisor.com.au/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html
Ice Cream on Orchard Road

Follow us on:
Instagram: @lechonny and @dalena.cake
Twitter: http://www.twitter.com/mychonny
Facebook: https://www.facebook.com/Mychonny-146853695356556/
Comedy Channel: http://www.youtube.com/yourchonny
Business Email: chonnyluck@hotmail.com

Edited by Rez - http://youtube.com/rezthekinez

Thanks for watching guise! TAKE CARE!!!
Chon & Potato"
Formalloy Laser Metal Deposition for NASA Rocket Nozzle,/watch?v=2hX4cQgCCKo,manufacturing,NASA utilizing Formalloy's Laser Metal Deposition for Rocket Nozzle demonstrator project.
Samsung Display showcase manufacturing Process of AMOLED,/watch?v=a-ojIZnn1ps,manufacturing,http://www.oled-display.net Samsung Display showcase the manufacturing process of AMOLED Displays on their brand new company website. Amoled will be used as example in the Galaxy S smartphones. More about AMOLED at http://www.oled-display.net
The Boxer Rebellion l HISTORY OF CHINA,/watch?v=0l4C3vZudZI,History,"The Boxer Rebellion was one of China's biggest uprisings against the unwanted European, US-American and Japanese Imperialism. Distrust and tensions marked all contacts with foreigners. Secret societies were formed to propagate against the enemy. The Yihequan, also known as Boxers, quickly rose to one of the biggest organisations in Northern China. Masters of close combat, they mainly targeted converted Chinese Christians and attacks increased wildly in the 1880s. From 1900 Empress Dowager Cixi was less and less opposed to the Rebellion, as she hoped to fight back foreign influence. Shortly after, even the Chinese Army started helping the rebels and foreigners were fought, killed or driven out. Consequently, an alliance of the imperial powers sent in 50.000 soldiers to end the massacre. Tough reprisals and treaties followed. Learn all about the Boxer Rebellion on IT'S HISTORY.

» The Complete PLAYLIST: http://bit.ly/HistoryOfChina

»  Mentioned Videos:

Ming and Qing Dynasty: http://bit.ly/MingQingDy

The Opium War: http://bit.ly/FirstOpiumWar

» JOIN OUR COMMUNITY FOR MORE HISTORY KNOWLEDGE!
Write us on Facebook: http://bit.ly/ITSHISTORYfb
Follow us on Twitter: http://twitter.com/thehistoryshow
Your photos on Instagram: https://instagram.com/itshistorychannel

» Interested in the First World War? Check out our PARTNER channel THE GREAT WAR!
https://www.youtube.com/user/TheGreatWar

» SOURCES
Videos: British Pathé (https://www.youtube.com/user/britishpathe)
Pictures: mainly Picture Alliance
Content:
Harrington, Peter: Peking 1900: The Boxer Rebellion, Osprey Campaign
Bodin, Lynn: The Boxer Rebellion, Men-at-Arms
http://www.historyofwar.org/articles/wars_boxer.html
http://www.chinafolio.com/chinas-last-dynasty-qing-dynasty-1644-1911/

» ABOUT US
IT’S HISTORY is a ride through history - Join us discovering the world’s most important eras in IN TIME, BIOGRAPHIES of the GREATEST MINDS and the most important INVENTIONS.

» HOW CAN I SUPPORT YOUR CHANNEL?
You can support us by sharing our videos with your friends and spreading the word about our work.

» CAN I EMBED YOUR VIDEOS ON MY WEBSITE?
Of course, you can embed our videos on your website. We are happy if you show our channel to your friends, fellow students, classmates, professors, teachers or neighbors. Or just share our videos on Facebook, Twitter, Reddit etc. Subscribe to our channel and like our videos with a thumbs up.

» CAN I SHOW YOUR VIDEOS IN CLASS?
Of course! Tell your teachers or professors about our channel and our videos. We’re happy if we can contribute with our videos.

» CREDITS
Presented by: Indy Neidell
Script by: Dan Hungerford
Directed by: Daniel Czepelczauer
Director of Photography: Markus Kretzschmar
Music: Markus Kretzschmar
Sound Design: Bojan Novic
Editing: Markus Kretzschmar

A Mediakraft Networks original channel
Based on a concept by Florian Wittig and Daniel Czepelczauer
Executive Producers: Astrid Deinhard-Olsson, Spartacus Olsson
Head of Production: Michael Wendt
Producer: Daniel Czepelczauer
Social Media Manager: Laura Pagan

Contains material licensed from British Pathé
All rights reserved - © Mediakraft Networks GmbH, 2015"
This Theory Suggests Our Perspective of Galaxies Could Be Wrong,/watch?v=E1HtIf2ZVR8,Science&Technology,"Our perspective from Earth could be distorting our understanding of space. Here’s what you need to know about the theory of AGN unification.

What Really Happens When Galaxies Collide - https://youtu.be/eWqETkudZXo

Read More:

Why It’s Hard to Recognize a Black Hole
http://nautil.us/blog/why-its-hard-to-recognize-a-black-hole
“If they are all fueled by supermassive black holes, why don’t all AGN look the same? One reason could be our point of view. The theory of AGN unification posits that all AGN have the same basic building blocks (accretion disk, jets, torus); The striking differences we observe, according to this theory, are all due to their orientation in space.”

Active Galaxies
https://imagine.gsfc.nasa.gov/science/objects/active_galaxies1.html
“Active galaxies are galaxies that have a small core of emission embedded at the center of an otherwise typical galaxy. This core is typically highly variable and very bright compared to the rest of the galaxy.”

What are active galactic nuclei?
https://phys.org/news/2016-11-galactic-nuclei.html
“In the 1970s, astronomers became aware of a compact radio source at the center of the Milky Way Galaxy – which they named Sagittarius A. After many decades of observation and mounting evidence, it was theorized that the source of these radio emissions was in fact a supermassive black hole (SMBH).”
____________________

Elements is more than just a science show. It’s your science-loving best friend, tasked with keeping you updated and interested on all the compelling, innovative and groundbreaking science happening all around us. Join our passionate hosts as they help break down and present fascinating science, from quarks to quantum theory and beyond.

Seeker explains every aspect of our world through a lens of science, inspiring a new generation of curious minds who want to know how today’s discoveries in science, math, engineering and technology are impacting our lives, and shaping our future. Our stories parse meaning from the noise in a world of rapidly changing information.

Visit the Seeker website https://www.seeker.com/videos

Elements on Facebook  https://www.facebook.com/SeekerElements/

Subscribe now! http://www.youtube.com/subscription_center?add_user=dnewschannel

Seeker on Twitter http://twitter.com/seeker

Seeker on Facebook https://www.facebook.com/SeekerMedia/

Seeker http://www.seeker.com/"
Science and Technology Stitching Screen Display,/watch?v=LX-coH5cTzo,Science&Technology,Science and Technology Stitching Screen Display
Watching Becoming Filipino Travel Blog with a husky,/watch?v=XHg1zPWgjXs,travel blog,"Arya loves belly rubs when we watch our new favorite TV show, Becoming Filipino Travel Blog."
Are Silent Farts Worse?,/watch?v=btV4K9JMVEQ,Science&Technology,"The notorious 'Silent But Deadly' fart - fact or fiction?
SUBSCRIBE (it's free!) - http://bit.ly/10kWnZ7
Follow us! (Links Below)

Instagram and Twitter: @mitchellmoffit and @whalewatchmeplz
Clickable: http://bit.ly/15J7ube and http://bit.ly/16F1jeC

Follow AsapSCIENCE!
TWITTER - http://bit.ly/16mYsWW
FACEBOOK - http://on.fb.me/12fEcFg

Written and created by Mitchell Moffit (twitter @mitchellmoffit) and Gregory Brown (twitter @whalewatchmeplz)."
Which Came First - The Chicken or the Egg?,/watch?v=1a8pI65emDE,Science&Technology,"TWEET IT - http://clicktotweet.com/a80_r

It has perplexed humanity from as early as the Ancient Greeks. So which came first, the chicken or the egg? We take a crack at this curious conundrum.

Written and created by Mitchell Moffit (twitter @mitchellmoffit) and Gregory Brown (twitter @whalewatchmeplz).

TWITTER: http://www.twitter.com/AsapSCIENCE
FACEBOOK: http://www.facebook.com/AsapSCIENCE

Mitchell Moffit
http://www.mitchellmoffit.com
http://www.twitter.com/mitchellmoffit
http://www.facebook.com/mitchellmoffit

Gregory Brown
http://www.gregorybrownart.tumblr.com
http://www.twitter.com/whalewatchmeplz

Further Reading --

Eggshell Protein
1) http://bit.ly/WWXc1v

Debate
2) http://www.guardian.co.uk/science/2006/may/26/uknews"
Talent vs Training,/watch?v=2ZiRZrYo5tA,Science&Technology,"Which is more important - genetics or hard work?
DAILY EPISODES, answering your burning questions.
Watch 5 episodes before anybody else: http://bit.ly/1n5llRo

Use the hashtag #ScienceSays to share your burning Olympic questions!
Special thanks to the CBC for supporting this series.

SUBSCRIBE! http://bit.ly/10kWnZ7

FOLLOW US:

Instagram and Twitter: @whalewatchmeplz and @mitchellmoffit
Clickable: http://bit.ly/16F1jeC and http://bit.ly/15J7ube

Facebook: http://on.fb.me/1fjWszw
Twitter: http://bit.ly/1d84R71
Tumblr: http://bit.ly/1amIPjF
Vine: Search ""AsapSCIENCE"" on vine!

Written and created by Mitchell Moffit (twitter @mitchellmoffit) and Gregory Brown (twitter @whalewatchmeplz).

Further Reading / Resources:

The Sports Gene: Inside the Science of Extraordinary Athletic Performance
Book by: David Epstein
http://thesportsgene.com/"
How is Europe manufacturing the ITER Toroidal Field coils?,/watch?v=AaRW50ZSqmk,manufacturing,"The ITER burning plasma is expected to reach 150 million °C. How are we going to confine it?
18 powerful superconducting magnets, known as Toroidal Field coils, will be powered with 68 000 A to generate a magnetic field of 11.8 Tesla (approximately 1 million times stronger the magnetic fields of the Earth!). In this “cage” we will entrap the energy of a small sun.
Europe will manufacture ten of the TF coils and Japan will produce eight plus one spare. They will be the biggest Niobium-tin (Nb3Sn) magnets ever produced. More than 600 people from 26 companies have collaborated with F4E, managing the European contribution to ITER, to produce the ten TF coils."
Jaipur Tour - Frank & Jen Travel India 30,/watch?v=ldjoJSXGd7k,travel blog,"From Mumbai we jump to Jaipur, the capital of Rajasthan, the land of kings and castles, and one of India's tourist hot spots. In the Pink City, we hit up the largest Jantar Mantar (ancient observatory) in the country, another UNESCO World Heritage Site. Then we check out one of the most elaborate walls in the world, the Hawa Mahal, or Wind Palace.

Music credit: ""Circus"" by zthmusic, ""The War On The Horizon Has Already Been Won"" by jazzyeagle.

Please subscribe for all future video episodes of Frank and Jen Travel India! And visit http://www.globevantage.com/blog for photos and blogs from each location."
IBIZA TRAVEL VLOG W/ BLOGGERS ✈️ Being Sanctuary Spa Launch ♡,/watch?v=iICjiRReixU,travel blog,"Hey my loves! I hope you enjoy my vlog to Ibiza with Being by the Sanctuary Spa ♥
thank you so much for taking me I had such a great time learning about your products!

Follow me on Instagram 📸Instagram - @Lizzieloves.x
https://instagram.com/lizzieloves.x/

Watch my Ibiza GRWM https://www.youtube.com/watch?v=U_XX-OPvzZc

☾♥MY SOCIAL MEDIA ☾♥

📸Instagram - @Lizzieloves.x
https://instagram.com/lizzieloves.x/

📲Snapchat - lizzieloves.x

🖥Twitter- lizzieloves_x
https://twitter.com/Lizzieloves_x

📧Business + Collaborations Email- lizzieloves.business@gmail.com

📧 Advice Email lizzielovesadvice@gmail.com


Outfit Details ♡
Grey Frill Joggers http://rstyle.me/n/cpc2pkcahyf (Size 10)
Grey Frill Hoodie http://rstyle.me/n/cpc2pscahyf (Size 10)
Vans Classic Trainers http://rstyle.me/n/cp2mefcahyf (Fit true to size)
Topshop Sunglasses http://rstyle.me/~a0Arj
Jorie Hair https://www.instagram.com/joriehair/ (8 packs)
Zaful african print bikini http://rstyle.me/n/cp2mgbcahyf ( size L)


Hotel I stayed in http://bit.ly/2sFp2vu
♡ TECH INFORMATION ♡

Cameras:
BIG CAMERA Canon 80D Body http://amzn.to/2eM2Xpl
VLOG CAMERA Canon G7X Mark 2 http://amzn.to/2j4xbFn
Lens:
Sigma 1.4 30mm lens http://amzn.to/2w8A9tR

Sound: Zoom H4n Pro Mic http://amzn.to/2slkcTS

Lights:
Newer Ring Lights http://amzn.to/2sle4ew
Newer Panel LCD Lights x2 http://amzn.to/2sV9tOF


Not Spon. Links may be affiliated



Music In this vid ♡
Busta Rhymes X Janet Jackson - What’s it gunna be (Remix) https://soundcloud.com/kaytranada/busta-rhymes-x-janet-jackson
Jill Scott - Golden (Remix)
https://soundcloud.com/kaytranada/jill-scott-golden-kaytranadas
Azeaila Banks - At the moment (Remix)
https://soundcloud.com/kaytranada/atm-jam-featuring-pharrell"
Follow the Food Ranger!,/watch?v=IFtkiPyn_MI,Food,"FOOD RANGER MERCH NOW AVAILABLE! http://bit.ly/FOODRANGER
Follow me on Insta: http://bit.ly/2c5ojch
And subscribe to my channel here: http://bit.ly/2cCy2ub
If you love food and travel, you've found the right channel! I'm pursuing my dream of tasting the world and documenting every bite along the way. For me, travel and food go together like curry and naan. Please subscribe for more!
Join me on facebook: https://www.facebook.com/Foodrangin

Love the music I use? Get a FREE month from me to you! I'm using this library for a few months now (since July 2017) and LOVE it. http://bit.ly/FoodRangerMusic
 ► My Food Blog: https://www.thefoodranger.com/"
Countryballs Animated -  People's Republic of China's Funny History 1912 -1945,/watch?v=BjszzR8QAho,History,"Countryballs Animated -  People's Republic of China's Funny History 1912 -1945
People's Republic of China
Communist Party of China
Kuomintang
Japan Empire
USSR SOVIET UNION
TAIWAN
Facebook Page : https://goo.gl/vhK7Dh
G+ Page : https://goo.gl/8jwFC1
Subscribe : https://goo.gl/9JD88X
http://www.freesfx.co.uk
#countryballs #countryball #polandball"
Make Money With An Adventure Travel Blog: Matthew Karsten Interview,/watch?v=6QF0_VpXuQI,travel blog,"5 free travel lessons: http://www.adventuresauce.com/join-us

Matthew Karsten runs a popular adventure travel blog, Expert Vagabond, and I wanted to hear how he makes a living from his blog."
"Giethoorn, Venice of The North - Travel Vlog (Video Blog) Travel Netherlands 🇳🇱",/watch?v=wqNCvQMv8oo,travel blog,"This is our guide to Giethoorn, Netherlands and what you may expect there.

We vlogged (video blogged) our day trip to Giethoorn, also widely regarded as Venice of The Netherlands or Venice of the North. We rented boats and toured the canals of the city.

Giethoorn is charming with many channels and boats. Many tourists come here to relax and go to the nearby national park.

About a year ago Chinese tourists discovered Giethoorn. They come by tourist buses or local buses. The whole city is getting adjusted to the Chinese tourists, they are learning Chinese, have Chinese written menus and signs, and even the bus tickets for the public transport buses are now written in Chinese. But not only does Chinese tourists come here, Indians, Americans, Thai and other tourists started to discover Giethoorn too.

If you prefer a more quiet place you should check out our blog about Kalenberg.

More info: http://secretsofaworldtraveller.com/2015/06/18/venice-of-the-netherlands/

Facebook: https://www.facebook.com/secretsofaworldtraveller
Twitter: https://twitter.com/SWorldTraveller
Google Plus: https://plus.google.com/+Secretsofaworldtravellerofficial

-~-~~-~~~-~~-~-
Please watch: ""A Month in China""
https://www.youtube.com/watch?v=MmTRg3KIfZQ
-~-~~-~~~-~~-~-"
Music and Art for Children in Palestine,/watch?v=q3IV_SZxLFo,Art&Music,"Creative expression has educational and psychological value for children, especially for those living in turbulent conditions. That's why music and the arts are a key component of ANERA's early childhood development program in Gaza and the West Bank. ANERA works with Al Kamandjati Association to train teachers in expressive arts and bring creative programming into schools and summer camps, giving children the chance to express themselves."
